Year,Season,Location_ID,Location_Name,Distance_km,WPI,BOD_mgL,COD_mgL,DO_mgL,FecalColiform_MPN100ml,pH,Nitrate_mgL
2020,Monsoon,1,Mulshi Dam (Mula Source),0,4.84,4.46,12.89,8.62,70,7.33,2.37
2020,Post-Monsoon,1,Mulshi Dam (Mula Source),0,7.52,5.43,15.2,7.83,219,7.35,0.95
2020,Winter,1,Mulshi Dam (Mula Source),0,3.29,2.96,5.67,8.36,50,7.23,2.13
2020,Summer,1,Mulshi Dam (Mula Source),0,9.44,7.29,16.1,7.68,767,7.19,2.32
2021,Monsoon,1,Mulshi Dam (Mula Source),0,2.21,2.78,6.02,8.9,50,7.27,1.68
2021,Post-Monsoon,1,Mulshi Dam (Mula Source),0,2.72,3.81,5.99,7.91,157,7.45,1.41
2021,Winter,1,Mulshi Dam (Mula Source),0,7.54,5.69,11.84,7.76,224,7.43,2.08
2021,Summer,1,Mulshi Dam (Mula Source),0,5.89,5.73,14.13,7.88,583,7.44,2.17
2022,Monsoon,1,Mulshi Dam (Mula Source),0,2.0,2.64,7.53,8.65,50,7.36,0.69
2022,Post-Monsoon,1,Mulshi Dam (Mula Source),0,2.95,4.84,15.3,8.27,571,7.41,1.03
2022,Winter,1,Mulshi Dam (Mula Source),0,8.96,9.23,23.93,8.34,50,7.39,2.12
2022,Summer,1,Mulshi Dam (Mula Source),0,9.85,7.56,15.68,7.74,955,7.45,1.92
2023,Monsoon,1,Mulshi Dam (Mula Source),0,2.0,2.35,7.94,8.46,50,7.43,1.29
2023,Post-Monsoon,1,Mulshi Dam (Mula Source),0,8.4,5.57,13.83,7.79,50,7.35,2.14
2023,Winter,1,Mulshi Dam (Mula Source),0,8.13,6.12,13.08,7.8,357,7.24,1.9
2023,Summer,1,Mulshi Dam (Mula Source),0,11.69,11.26,29.63,7.76,1056,7.09,2.39
2024,Monsoon,1,Mulshi Dam (Mula Source),0,4.02,7.91,20.18,8.31,112,7.24,2.05
2024,Post-Monsoon,1,Mulshi Dam (Mula Source),0,7.9,7.53,17.76,8.37,50,7.38,3.04
2024,Winter,1,Mulshi Dam (Mula Source),0,5.7,4.28,11.33,7.95,50,7.35,1.15
2024,Summer,1,Mulshi Dam (Mula Source),0,11.94,7.19,21.79,7.43,978,7.36,1.82
2025,Monsoon,1,Mulshi Dam (Mula Source),0,4.46,6.41,13.45,8.24,289,7.43,0.92
2025,Post-Monsoon,1,Mulshi Dam (Mula Source),0,2.75,4.3,11.77,8.38,233,7.3,1.45
2025,Winter,1,Mulshi Dam (Mula Source),0,8.95,5.85,18.94,8.02,50,7.38,1.59
2025,Summer,1,Mulshi Dam (Mula Source),0,12.78,10.77,26.36,7.89,1512,7.35,3.48
2026,Monsoon,1,Mulshi Dam (Mula Source),0,3.29,2.68,5.19,8.02,50,7.4,1.53
2026,Post-Monsoon,1,Mulshi Dam (Mula Source),0,8.15,6.5,19.81,7.85,1891,7.38,1.55
2026,Winter,1,Mulshi Dam (Mula Source),0,5.57,5.79,14.61,8.32,485,7.34,1.25
2026,Summer,1,Mulshi Dam (Mula Source),0,7.07,5.22,15.28,8.07,50,7.35,2.04
2020,Monsoon,2,Pashan Lake Inflow,8,4.54,4.73,12.41,7.84,343,7.41,2.09
2020,Post-Monsoon,2,Pashan Lake Inflow,8,13.13,7.16,16.74,7.74,1637,7.32,4.5
2020,Winter,2,Pashan Lake Inflow,8,15.68,12.33,33.97,7.6,1808,7.32,2.49
2020,Summer,2,Pashan Lake Inflow,8,18.16,11.26,29.44,7.92,1704,7.29,2.37
2021,Monsoon,2,Pashan Lake Inflow,8,5.77,6.81,17.83,7.77,50,7.41,1.33
2021,Post-Monsoon,2,Pashan Lake Inflow,8,11.36,8.31,20.3,8.35,1348,7.08,2.46
2021,Winter,2,Pashan Lake Inflow,8,13.02,10.44,25.56,7.55,1609,7.36,1.96
2021,Summer,2,Pashan Lake Inflow,8,18.48,11.45,28.46,7.74,2933,7.09,3.68
2022,Monsoon,2,Pashan Lake Inflow,8,12.46,10.4,24.0,7.48,1875,7.2,2.72
2022,Post-Monsoon,2,Pashan Lake Inflow,8,13.07,7.8,20.16,6.61,853,7.24,1.94
2022,Winter,2,Pashan Lake Inflow,8,19.19,10.41,26.19,7.2,3665,7.06,3.88
2022,Summer,2,Pashan Lake Inflow,8,19.9,11.47,30.75,7.17,2868,7.21,3.2
2023,Monsoon,2,Pashan Lake Inflow,8,7.49,7.11,21.66,7.6,1515,7.13,1.82
2023,Post-Monsoon,2,Pashan Lake Inflow,8,12.69,9.4,23.19,7.55,1041,7.21,2.95
2023,Winter,2,Pashan Lake Inflow,8,16.11,9.82,27.33,7.46,2483,7.3,2.52
2023,Summer,2,Pashan Lake Inflow,8,18.63,13.37,35.98,7.19,2834,7.34,2.94
2024,Monsoon,2,Pashan Lake Inflow,8,8.63,6.44,16.31,8.23,1007,7.4,2.69
2024,Post-Monsoon,2,Pashan Lake Inflow,8,11.34,9.26,23.46,7.8,964,7.3,2.66
2024,Winter,2,Pashan Lake Inflow,8,13.28,12.44,30.33,7.21,1989,7.35,2.91
2024,Summer,2,Pashan Lake Inflow,8,21.73,13.93,34.42,7.0,3439,7.28,3.53
2025,Monsoon,2,Pashan Lake Inflow,8,5.23,4.4,12.27,7.96,50,7.37,1.75
2025,Post-Monsoon,2,Pashan Lake Inflow,8,10.08,6.84,18.25,7.36,109,7.23,2.1
2025,Winter,2,Pashan Lake Inflow,8,16.18,13.11,35.8,7.32,2085,7.14,2.93
2025,Summer,2,Pashan Lake Inflow,8,19.55,13.23,32.74,7.29,3823,7.19,3.55
2026,Monsoon,2,Pashan Lake Inflow,8,9.05,6.38,17.04,7.87,704,7.23,2.1
2026,Post-Monsoon,2,Pashan Lake Inflow,8,12.64,11.13,30.86,8.26,895,7.36,2.61
2026,Winter,2,Pashan Lake Inflow,8,20.94,12.31,30.33,6.85,2447,7.14,3.13
2026,Summer,2,Pashan Lake Inflow,8,20.73,13.91,39.92,7.33,3149,7.1,3.73
2020,Monsoon,3,Aundh,14,9.3,9.86,27.99,7.71,50,7.44,2.06
2020,Post-Monsoon,3,Aundh,14,22.69,12.09,30.24,6.91,4143,7.13,4.03
2020,Winter,3,Aundh,14,23.93,14.95,39.11,6.98,4937,7.05,3.1
2020,Summer,3,Aundh,14,38.19,23.51,59.63,6.29,11728,7.14,5.62
2021,Monsoon,3,Aundh,14,18.13,14.6,37.46,7.52,2952,7.36,2.69
2021,Post-Monsoon,3,Aundh,14,21.9,15.63,37.12,6.61,2818,7.15,3.99
2021,Winter,3,Aundh,14,31.15,19.25,53.31,5.91,6912,7.08,4.93
2021,Summer,3,Aundh,14,35.97,18.68,48.39,5.59,10684,7.08,4.85
2022,Monsoon,3,Aundh,14,12.07,7.05,18.2,7.94,672,7.33,2.18
2022,Post-Monsoon,3,Aundh,14,18.79,12.18,29.6,7.02,2226,7.41,3.27
2022,Winter,3,Aundh,14,26.45,16.87,43.64,6.58,5902,7.21,3.91
2022,Summer,3,Aundh,14,35.66,21.2,50.52,5.55,10856,7.21,5.15
2023,Monsoon,3,Aundh,14,14.9,10.66,33.87,7.79,1712,7.16,1.98
2023,Post-Monsoon,3,Aundh,14,21.45,12.66,30.07,6.8,3138,7.35,4.01
2023,Winter,3,Aundh,14,28.39,19.84,51.74,6.25,7211,7.17,3.89
2023,Summer,3,Aundh,14,36.91,20.99,51.81,6.19,11854,6.89,5.71
2024,Monsoon,3,Aundh,14,11.92,7.83,19.17,7.41,1161,7.2,2.57
2024,Post-Monsoon,3,Aundh,14,20.95,13.16,32.4,6.86,3888,7.24,3.03
2024,Winter,3,Aundh,14,28.85,18.99,46.04,6.64,6326,7.17,4.08
2024,Summer,3,Aundh,14,33.12,17.77,46.3,6.26,8323,7.13,4.14
2025,Monsoon,3,Aundh,14,13.46,7.58,18.4,7.57,1018,7.23,3.12
2025,Post-Monsoon,3,Aundh,14,19.75,14.11,34.43,7.28,3839,6.96,2.97
2025,Winter,3,Aundh,14,30.2,18.3,48.32,6.2,7338,7.08,5.21
2025,Summer,3,Aundh,14,38.47,23.67,60.72,5.66,11623,7.05,5.41
2026,Monsoon,3,Aundh,14,14.4,13.03,35.62,7.39,2260,7.22,1.71
2026,Post-Monsoon,3,Aundh,14,18.76,9.51,24.02,7.19,3652,7.25,3.14
2026,Winter,3,Aundh,14,30.95,15.71,41.32,6.56,6924,7.2,4.88
2026,Summer,3,Aundh,14,36.96,23.28,65.07,5.97,11051,6.98,5.01
2020,Monsoon,4,Bopodi,18,19.18,11.26,29.42,7.01,3181,7.24,3.82
2020,Post-Monsoon,4,Bopodi,18,25.32,15.52,38.39,6.59,5319,7.22,3.58
2020,Winter,4,Bopodi,18,38.27,25.08,66.03,6.38,11332,6.89,4.7
2020,Summer,4,Bopodi,18,51.24,31.16,80.9,5.0,20441,7.13,7.21
2021,Monsoon,4,Bopodi,18,17.89,12.93,34.58,7.32,2164,7.27,4.09
2021,Post-Monsoon,4,Bopodi,18,30.76,21.31,54.38,6.05,7507,7.1,5.24
2021,Winter,4,Bopodi,18,32.95,22.42,57.98,6.07,8180,6.9,5.37
2021,Summer,4,Bopodi,18,49.11,27.07,67.79,4.96,20127,6.88,6.14
2022,Monsoon,4,Bopodi,18,17.51,11.22,23.78,7.26,2337,7.29,4.03
2022,Post-Monsoon,4,Bopodi,18,31.01,18.65,46.28,7.1,7723,7.09,4.71
2022,Winter,4,Bopodi,18,38.76,23.1,58.91,5.62,12003,6.96,5.29
2022,Summer,4,Bopodi,18,50.62,29.46,79.6,4.16,21041,7.02,6.04
2023,Monsoon,4,Bopodi,18,17.41,11.02,25.84,7.05,1869,7.4,3.56
2023,Post-Monsoon,4,Bopodi,18,31.59,20.46,50.94,6.13,8229,6.96,5.15
2023,Winter,4,Bopodi,18,37.96,22.32,59.45,5.98,11347,7.14,5.01
2023,Summer,4,Bopodi,18,52.28,31.64,81.64,4.94,21239,6.97,7.18
2024,Monsoon,4,Bopodi,18,17.08,12.97,32.31,6.88,1555,7.29,2.41
2024,Post-Monsoon,4,Bopodi,18,32.99,17.02,47.64,6.25,8656,7.02,5.16
2024,Winter,4,Bopodi,18,38.72,24.95,65.1,5.83,11812,7.01,5.8
2024,Summer,4,Bopodi,18,46.8,25.72,68.36,5.28,17427,6.93,6.79
2025,Monsoon,4,Bopodi,18,17.14,10.26,27.07,7.01,2553,7.06,3.57
2025,Post-Monsoon,4,Bopodi,18,29.94,18.85,50.98,6.9,7676,6.92,3.95
2025,Winter,4,Bopodi,18,37.46,22.64,59.9,5.66,11320,6.95,5.19
2025,Summer,4,Bopodi,18,47.83,26.92,67.29,4.86,18829,6.83,8.06
2026,Monsoon,4,Bopodi,18,19.8,13.17,32.53,7.32,2847,7.21,4.66
2026,Post-Monsoon,4,Bopodi,18,28.64,19.47,49.22,6.48,7445,7.05,5.34
2026,Winter,4,Bopodi,18,40.96,23.68,62.83,5.92,13732,6.83,5.55
2026,Summer,4,Bopodi,18,50.95,29.91,79.01,4.99,20097,6.93,7.42
2020,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,14.9,11.82,32.4,7.59,1740,7.08,3.0
2020,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,21.52,14.24,34.47,6.67,4231,7.18,3.92
2020,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,28.57,17.76,48.05,6.35,6578,7.07,4.21
2020,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,36.73,22.53,57.62,6.31,10343,7.01,5.19
2021,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,17.52,11.93,33.08,6.83,2589,7.31,3.14
2021,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,24.29,14.59,40.75,7.49,4540,7.11,4.64
2021,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,33.3,19.53,49.94,6.08,8200,6.98,4.49
2021,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,36.71,22.14,58.03,6.4,10279,7.13,5.3
2022,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,14.19,10.81,25.86,7.62,1693,7.31,2.85
2022,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,28.4,16.66,42.25,6.33,6173,7.05,5.0
2022,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,33.76,19.71,49.58,6.28,8842,7.13,5.15
2022,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,35.96,24.1,66.25,5.8,10151,7.07,5.48
2023,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,16.07,13.85,35.66,7.14,1375,7.17,2.91
2023,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,26.92,16.03,42.13,6.61,6391,7.38,3.96
2023,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,29.22,19.64,52.43,7.01,7122,7.07,4.8
2023,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,42.83,26.79,70.67,5.82,15259,7.11,6.46
2024,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,14.1,9.97,28.34,7.27,1774,7.22,2.71
2024,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,25.78,16.46,42.89,6.29,5688,7.21,5.17
2024,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,29.87,18.76,49.27,6.88,7091,7.13,4.89
2024,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,40.79,23.76,62.16,5.97,12795,7.01,5.54
2025,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,17.58,9.38,23.27,7.38,3255,7.22,2.83
2025,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,27.4,14.9,34.34,6.71,5756,7.02,4.64
2025,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,31.42,18.43,45.36,6.56,8221,7.08,5.69
2025,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,37.86,20.54,52.02,5.84,11590,7.0,5.72
2026,Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,11.53,10.51,27.16,8.03,1234,7.33,2.67
2026,Post-Monsoon,5,Sangam Bridge (Mula-Mutha Confluence),21,23.92,16.12,44.57,6.88,4930,7.15,4.59
2026,Winter,5,Sangam Bridge (Mula-Mutha Confluence),21,29.25,20.79,53.97,6.02,6907,7.04,4.93
2026,Summer,5,Sangam Bridge (Mula-Mutha Confluence),21,39.08,22.82,55.55,5.63,11005,6.85,6.07
2020,Monsoon,6,Bund Garden,24,22.21,14.86,36.7,6.93,3946,7.06,4.42
